ID,Route,Direction,Milepost_S,Milepost_E,Distance,Slope,Radius,Curve_Length,Num_Lanes,Delta_Slope,Delta_Radius,Delta_Lanes,AADT,Max_Speed,Min_Speed,Mean_Speed,Consequence,Causal_Factor
10045,영동선,1,25.66,26.58,0.92,1.3893,0,2690,3,0,980,0,74719,84.4,79.4,81.9,0,0
10046,영동선,1,26.58,27.6,1.02,0.781,0,2690,3,0.6083,0,0,74719,96.5,90.6,94.38,0,0
10047,영동선,1,27.6,28.35,0.75,1.9169,0,2690,3,-1.1359,0,0,74719,94.5,93.4,93.98,0,0
10048,영동선,1,28.35,29.11,0.76,1.9169,1203,1080,3,0,-1203,0,74719,96.3,62.2,75.87,0,0
10049,영동선,1,29.11,29.43,0.32,0.6266,1203,1080,3,1.2903,0,0,74719,90.4,80.7,85.97,0,0
10050,영동선,1,29.43,30.64,1.21,0.6266,1996,1820,3,0,-793,0,78495,92,71.3,83.64,0,0
10051,영동선,1,30.64,31.25,0.61,1.6942,1996,1820,3,-1.0676,0,0,78495,89.3,75.2,85.64,0,0
10052,영동선,1,31.25,31.48,0.23,1.6942,0,950,3,0,1996,0,78495,91.1,89.4,90.25,0,0
10053,영동선,1,31.48,32.2,0.72,1.0433,0,950,3,0.6509,0,0,78495,87.5,81.3,83.04,0,0
10054,영동선,1,32.2,32.88,0.68,1.0433,1001,1080,3,0,-1001,0,78495,82.1,74.2,77.26,0,0
10055,영동선,1,32.88,33.28,0.4,2.4243,1001,1080,3,-1.381,0,0,78495,93.4,84.1,90.22,0,0
10056,영동선,1,33.28,33.6,0.32,2.4243,0,610,3,0,1001,0,78495,89.1,82.5,85.8,0,0
10057,영동선,1,33.6,33.89,0.29,2.424,0,610,3,0.0003,0,0,78495,79.4,79.3,79.35,0,0
10058,영동선,1,33.89,34.76,0.87,2.424,700,870,3,0,-700,0,78495,80.8,66.2,72.26,0,0
10059,영동선,1,34.76,34.79,0.03,2.424,0,540,3,0,700,0,78495,100,100,100,0,0
10060,영동선,1,34.79,35.3,0.51,2.772,0,540,3,-0.348,0,0,78495,85.8,81.4,84.04,0,0
10061,영동선,1,35.3,35.74,0.44,2.772,2400,440,3,0,-2400,0,78495,82,77.6,79.62,0,0
10062,영동선,1,35.74,36.75,1.01,2.772,0,1010,3,0,2400,0,78495,95.6,80.6,87.68,0,0
10063,영동선,1,36.75,36.77,0.02,2.772,3000,910,3,0,-3000,0,79147,100,100,100,0,0
10064,영동선,1,36.77,37.66,0.89,0.3833,3000,910,3,2.3887,0,0,79147,89.6,89.6,89.6,0,0
10065,영동선,1,37.66,37.83,0.17,0.3833,0,2880,3,0,3000,0,79147,85.3,85.3,85.3,0,0
10066,영동선,1,37.83,38.39,0.56,0.3833,0,2880,4,0,0,-1,79147,93.8,88.2,91.8,0,0
10067,영동선,1,38.39,39.87,1.48,0.987,0,2880,4,-0.6037,0,0,79147,98.1,92.8,95.98,0,0
10068,영동선,1,39.87,40.39,0.52,4.7881,0,2880,4,-3.8011,0,0,79147,98.4,98.3,98.38,0,0
10069,영동선,1,40.39,40.54,0.15,4.7881,0,2880,5,0,0,-1,79147,98.3,98,98.15,0,0
10070,영동선,1,40.54,40.71,0.17,4.7881,2096,840,5,0,-2096,0,79147,97.7,97.2,97.43,0,0
10071,영동선,1,40.71,41.38,0.67,2.1039,2096,840,5,2.6842,0,0,79147,98,95.8,96.84,0,0
10072,영동선,1,41.38,41.59,0.21,2.1039,2004.8,240.644,5,0,91.2,0,79147,95,92.2,93.6,0,0
10073,영동선,1,41.59,41.620644,0.030644,0.3021,2004.8,240.644,5,1.8018,0,0,79147,93.5,93.5,93.5,0,0
10074,영동선,1,41.620644,41.9,0.279356,0.3021,0,334.356,5,0,2004.8,0,79772,93.9,83.9,88.93,0,0
10075,영동선,1,41.9,41.955,0.055,3.231,0,334.356,5,-2.9289,0,0,79772,80.1,80.1,80.1,0,0
10076,영동선,1,41.955,42.272,0.317,3.231,1800,920,5,0,-1800,0,79772,95.4,74.7,81.62,0,0
10077,영동선,1,42.272,42.802,0.53,-1.8338,1800,920,5,5.0648,0,0,79772,93,81.7,85.68,0,0
10078,영동선,1,42.802,42.875,0.073,1.1363,1800,920,5,-2.9701,0,0,79772,84.2,84.2,84.2,0,0
10079,영동선,1,42.875,43.77091,0.89591,1.1363,0,1220,5,0,1800,0,79772,89.3,83.1,85.53,0,0
10080,영동선,1,43.77091,44.095,0.32409,1.9293,0,1220,5,-0.793,0,0,79772,91.9,90.7,91.33,0,0
10081,영동선,1,44.095,44.66,0.565,1.9293,1384,565,5,0,-1384,0,79772,91.7,84.9,87.76,0,0
10082,영동선,1,44.66,44.97952,0.31952,1.9293,0,625,5,0,1384,0,79772,85.5,82.7,84.03,0,0
10083,영동선,1,44.97952,45.285,0.30548,0.4397,0,625,5,1.4896,0,0,79772,82.4,82.4,82.4,0,0
10084,영동선,1,45.285,45.84,0.555,0.4397,1001.9,555,5,0,-1001.9,0,79772,89.2,83.3,86.1,0,0
10085,영동선,1,45.84,45.99791,0.15791,0.4397,0,680,5,0,1001.9,0,79772,100,100,100,0,0
10086,영동선,1,45.99791,46.52,0.52209,0.8958,0,680,5,-0.4561,0,0,79772,100,100,100,0,0
10087,영동선,1,46.52,47.66756,1.14756,0.8958,1700,1190,5,0,-1700,0,79772,100,100,100,0,0
10088,영동선,1,47.66756,47.71,0.04244,-0.6189,1700,1190,5,1.5147,0,0,79772,100,100,100,0,0
10089,영동선,1,47.71,48.205,0.495,-0.6189,0,495,5,0,1700,0,79772,100,100,100,0,0
10090,영동선,1,48.205,50.011302,1.806302,-0.6189,4800,1806.302,5,0,-4800,0,76795,91.2,80.3,85.03,0,0
10091,영동선,1,50.011302,50.294969,0.283667,-0.6189,3200,283.667,5,0,1600,0,76795,88.8,87.1,87.95,0,0
10092,영동선,1,50.294969,50.41179,0.116821,-0.6189,0,715.031,5,0,3200,0,76795,100,100,100,0,0
10093,영동선,1,50.41179,51.01,0.59821,-2.719,0,715.031,5,2.1001,0,0,76795,98.5,91.3,95.6,0,0
10094,영동선,1,51.01,51.42855,0.41855,-2.719,2400,418.55,5,0,-2400,0,76795,98.4,97.9,98.1,0,0
10095,영동선,1,51.42855,51.62695,0.1984,-2.719,0,2446.45,5,0,2400,0,65962,98.3,98.3,98.3,0,0
10096,영동선,1,51.62695,51.94,0.31305,-0.6621,0,2446.45,5,-2.0569,0,0,65962,98.3,97.6,97.95,0,0
10097,영동선,1,51.94,53.5043,1.5643,-0.6621,0,2446.45,4,0,0,1,65962,96,88.5,91.88,0,0
10098,영동선,1,53.5043,53.875,0.3707,0.9104,0,2446.45,4,-1.5725,0,0,65962,91.9,89.7,90.67,0,0
10099,영동선,1,53.875,54.25,0.375,0.9104,1000,375,4,0,-1000,0,65962,91.9,88,89.07,0,0
10100,영동선,1,54.25,54.79328,0.54328,0.9104,0,1330,4,0,1000,0,65962,93.3,84.4,88.91,0,0
10101,영동선,1,54.79328,55.58,0.78672,0.7276,0,1330,4,0.1828,0,0,65962,98.4,90.2,95.69,0,0
10102,영동선,1,55.58,55.847,0.267,0.7276,2000,619.248,4,0,-2000,0,65962,98.1,98.1,98.1,0,0
10103,영동선,1,55.847,55.997,0.15,0.9795,2000,619.248,4,-0.2519,0,0,65962,100,100,100,0,0
10104,영동선,1,55.997,56.199248,0.202248,0.7276,2000,619.248,4,0.2519,0,0,65962,100,100,100,0,0
10105,영동선,1,56.199248,56.73901,0.539762,0.7276,0,900.752,4,0,2000,0,65962,97.4,86.9,92.05,0,0
10106,영동선,1,56.73901,57.1,0.36099,2.9492,0,900.752,4,-2.2216,0,0,65962,98.2,91.1,96.3,0,0
10107,영동선,1,57.1,57.64569,0.54569,2.9492,1400,1090,4,0,-1400,0,65962,98.9,98.4,98.67,0,0
10108,영동선,1,57.64569,58.19,0.54431,2.4931,1400,1090,4,0.4561,0,0,65962,98.9,98.2,98.56,0,0
10109,영동선,1,58.19,58.372,0.182,2.4931,0,575,4,0,1400,0,65962,98.5,98.5,98.5,0,0
10110,영동선,1,58.372,58.765,0.393,1.5,0,575,4,0.9931,0,0,65962,98.7,98.6,98.63,0,0
10111,영동선,1,58.765,59.392,0.627,1.5,1000,780,4,0,-1000,0,65962,98.7,98.3,98.49,0,0
10112,영동선,1,59.392,59.545,0.153,-0.8046,1000,780,4,2.3046,0,0,65962,98.1,98.1,98.1,0,0
10113,영동선,1,59.545,59.94479,0.39979,-0.8046,1091.3,970,4,0,-91.3,0,54337,98.3,97.6,97.8,0,0
10114,영동선,1,59.94479,60.515,0.57021,2.0859,1091.3,970,4,-2.8905,0,0,54337,99.2,97.2,98.27,0,0
10115,영동선,1,60.515,60.73998,0.22498,2.0859,900,742,4,0,191.3,0,54337,98.9,98.9,98.9,0,0
10116,영동선,1,60.73998,61.257,0.51702,-2.9233,900,742,4,5.0092,0,0,54337,98.9,98.4,98.65,0,0
10117,영동선,1,61.257,61.3194,0.0624,-2.9233,910,653,4,0,-10,0,54337,100,100,100,0,0
10118,영동선,1,61.3194,61.91,0.5906,-2.3345,910,653,4,-0.5888,0,0,54337,97.8,97.8,97.8,0,0
10119,영동선,1,61.91,62.472,0.562,-2.3345,1000,570,4,0,-90,0,54337,98.8,98.1,98.47,0,0
10120,영동선,1,62.472,62.48,0.008,-2.818,1000,570,4,0.4835,0,0,54337,100,100,100,0,0
10121,영동선,1,62.48,62.63,0.15,-2.818,0,150,4,0,1000,0,54337,98.7,98.7,98.7,0,0
10122,영동선,1,62.63,63,0.37,-2.818,1060,370,4,0,-1060,0,54337,98.7,98,98.34,0,0
10123,영동선,1,63,63.295,0.295,-2.818,0,295,4,0,1060,0,54337,99.1,97.7,98.44,0,0
10124,영동선,1,63.295,63.42397,0.12897,-2.818,2100,869.451,4,0,-2100,0,54337,98,97.6,97.77,0,0
10125,영동선,1,63.42397,64.09163,0.66766,2.9838,2100,869.451,4,-5.8018,0,0,54337,98.8,98.4,98.6,0,0
10126,영동선,1,64.09163,64.164451,0.072821,-2.9714,2100,869.451,4,5.9552,0,0,54337,100,100,100,0,0
10127,영동선,1,64.164451,64.975,0.810549,-2.9714,0,810.549,4,0,2100,0,54337,98.5,97.9,98.13,0,0
10128,영동선,1,64.975,65.29871,0.32371,-2.9714,741.8,915,4,0,-741.8,0,54337,98.7,98.1,98.52,0,0
10129,영동선,1,65.29871,65.79739,0.49868,1.4902,741.8,915,4,-4.4616,0,0,54337,98.3,98,98.14,0,0
10130,영동선,1,65.79739,65.89,0.09261,-2.4425,741.8,915,4,3.9327,0,0,54337,98.2,98.2,98.2,0,0
10131,영동선,1,65.89,66.165,0.275,-2.4425,0,275,4,0,741.8,0,54337,98.2,98.1,98.13,0,0
10132,영동선,1,66.165,66.29642,0.13142,-2.4425,1091.3,1185,4,0,-1091.3,0,54337,98.3,98.2,98.25,0,0
10133,영동선,1,66.29642,66.78115,0.48473,0.6508,1091.3,1185,4,-3.0933,0,0,54337,98.4,98.2,98.33,0,0
10134,영동선,1,66.78115,67.35,0.56885,-1.431,1091.3,1185,4,2.0818,0,0,54337,98.6,98.3,98.4,0,0
10135,영동선,1,67.35,67.503439,0.153439,-1.431,3000,153.439,4,0,-1908.7,0,54337,98.7,98.7,98.7,0,0
10136,영동선,1,67.503439,67.67965,0.176211,-1.431,4800,245.064,4,0,-1800,0,52635,98.7,98.7,98.7,0,0
10137,영동선,1,67.67965,67.748503,0.068853,0.9555,4800,245.064,4,-2.3865,0,0,52635,98.5,98.5,98.5,0,0
10138,영동선,1,67.748503,68.25018,0.501677,0.9555,0,2241.497,4,0,4800,0,52635,98.9,97.8,98.39,0,0
10139,영동선,1,68.25018,68.85269,0.60251,2.2162,0,2241.497,4,-1.2607,0,0,52635,98.7,96.6,98.07,0,0
10140,영동선,1,68.85269,69.31131,0.45862,0.3092,0,2241.497,4,1.907,0,0,52635,98.4,98.2,98.3,0,0
10141,영동선,1,69.31131,69.99,0.67869,1.3811,0,2241.497,4,-1.0719,0,0,52635,99,98.2,98.45,0,0
10142,영동선,1,69.99,70.559868,0.569868,1.3811,3000,569.868,4,0,-3000,0,52635,98.8,82.2,96.23,0,0
10143,영동선,1,70.559868,70.59426,0.034392,1.3811,0,545.132,4,0,3000,0,52635,100,100,100,0,0
10144,영동선,1,70.59426,71.105,0.51074,-2.9603,0,545.132,4,4.3414,0,0,52635,74.2,63.3,67.13,0,0
10145,영동선,1,71.105,71.47619,0.37119,-2.9603,1000,935,4,0,-1000,0,52635,69.9,67.7,68.87,0,0
10146,영동선,1,71.47619,71.83943,0.36324,-0.5002,1000,935,4,-2.4601,0,0,52635,69.6,67.5,68.5,0,0
10147,영동선,1,71.83943,72.04,0.20057,-2.4465,1000,935,4,1.9463,0,0,52635,66.9,66.6,66.75,0,0
10148,영동선,1,72.04,72.565,0.525,-2.4465,0,525,4,0,1000,0,52635,71,65,66.99,0,0
10149,영동선,1,72.565,72.6067,0.0417,-2.4465,1350,365,4,0,-1350,0,52635,81.2,81.2,81.2,0,0
10150,영동선,1,72.6067,72.93,0.3233,-1.2079,1350,365,4,-1.2386,0,0,52635,96.7,91.5,94.1,0,0
10151,영동선,1,72.93,73.12088,0.19088,-1.2079,980,450,4,0,370,0,74480,97.9,97.9,97.9,0,0
10152,영동선,1,73.12088,73.38,0.25912,0.9204,980,450,4,-2.1283,0,0,74480,98.4,98.2,98.3,0,0
10153,영동선,1,73.38,73.67939,0.29939,0.9204,1250,530,4,0,-270,0,74480,98.6,97.7,98.15,0,0
10154,영동선,1,73.67939,73.91,0.23061,0.9487,1250,530,4,-0.0283,0,0,74480,91.3,79.8,85.55,0,0
10155,영동선,1,73.91,73.94,0.03,0.9487,1250,535,4,0,0,0,74480,100,100,100,0,0
10156,영동선,1,73.94,74.445,0.505,-0.9488,1250,535,4,1.8975,0,0,74480,98.3,91.1,95.4,0,0
10157,영동선,1,74.445,74.92,0.475,-0.9488,0,2100,4,0,1250,0,74480,98.5,98,98.27,0,0
10158,영동선,1,74.92,76.545,1.625,1.3645,0,2100,4,-2.3133,0,0,74480,100,98,105.38,0,0
10159,영동선,1,76.545,77.038,0.493,1.3645,4107.3,493,4,0,-4107.3,0,74480,100,98.4,103.35,0,0
10160,영동선,1,77.038,77.23755,0.19955,1.3645,0,354,4,0,4107.3,0,74480,100,104.3,106.47,0,0
10161,영동선,1,77.23755,77.392,0.15445,-1.3876,0,354,4,2.7521,0,0,74480,100,107.5,107.55,0,0
10162,영동선,1,77.392,77.65122,0.25922,-1.3876,2204,1133,4,0,-2204,0,74480,100,107.8,108.25,0,0
10163,영동선,1,77.65122,78.03021,0.37899,-0.428,2204,1133,4,-0.9596,0,0,74480,100,107,108.04,0,0
10164,영동선,1,78.03021,78.525,0.49479,2.5911,2204,1133,4,-3.0191,0,0,74480,100,107.5,108.14,0,0
10165,영동선,1,78.525,78.58626,0.06126,2.5911,0,2755,4,0,2204,0,55453,100,100,100,0,0
10166,영동선,1,78.58626,79.18262,0.59636,-1.9686,0,2755,4,4.5597,0,0,55453,100,107.3,107.68,0,0
10167,영동선,1,79.18262,79.85691,0.67429,-1.2962,0,2755,4,-0.6724,0,0,55453,100,107.8,108.13,0,0
10168,영동선,1,79.85691,80.71951,0.8626,-1.1083,0,2755,4,-0.1879,0,0,55453,100,97.6,105.07,0,0
10169,영동선,1,80.71951,81.28,0.56049,-0.3167,0,2755,4,-0.7916,0,0,55453,100,107.3,108.02,0,0
10170,영동선,1,81.28,81.55,0.27,-0.3167,1693.2,1090,4,0,-1693.2,0,55453,100,108.1,108.3,0,0
10171,영동선,1,81.55,82.37,0.82,0.3091,1693.2,1090,4,-0.6258,0,0,55453,100,107.8,108.08,0,0
10172,영동선,1,82.37,83.1,0.73,-1.7628,1051,898,4,2.0719,642.2,0,55453,100,107.7,107.7,0,0
10173,영동선,1,83.1,83.268,0.168,-0.3096,1051,898,4,-1.4532,0,0,55453,100,100,100,0,0
10174,영동선,1,83.268,83.79112,0.52312,-0.3096,0,1882,4,0,1051,0,55453,100,107.7,107.8,0,0
10175,영동선,1,83.79112,84.052,0.26088,0.5569,0,1882,4,-0.8665,0,0,55453,100,108.1,108.1,0,0
10176,영동선,1,84.052,84.34129,0.28929,1.745,0,1882,4,-1.1881,0,0,55453,100,108.4,108.4,0,0
10177,영동선,1,84.34129,85.15,0.80871,-0.7388,0,1882,4,2.4838,0,0,55453,100,108.4,108.6,0,0
10178,영동선,1,85.15,85.26866,0.11866,-0.7388,1040,380,4,0,-1040,0,55453,100,108.3,108.3,0,0
10179,영동선,1,85.26866,85.53,0.26134,1.0349,1040,380,4,-1.7737,0,0,55453,100,108.5,108.5,0,0
10180,영동선,1,85.53,85.723,0.193,1.0349,0,1130,4,0,1040,0,55453,100,108.5,108.5,0,0
10181,영동선,1,85.723,85.96787,0.24487,-1.123,0,1130,4,2.1579,0,0,55453,100,108.5,108.5,0,0
10182,영동선,1,85.96787,86.31209,0.34422,0.7147,0,1130,4,-1.8377,0,0,55453,100,108.3,108.4,0,0
10183,영동선,1,86.31209,86.52949,0.2174,0.5004,0,1130,4,0.2143,0,0,55453,100,108.3,108.3,0,0
10184,영동선,1,86.52949,86.66,0.13051,2.1986,0,1130,4,-1.6982,0,0,55453,100,108.1,108.1,0,0
10185,영동선,1,86.66,87.00249,0.34249,2.1986,700,364,4,0,-700,0,55453,100,107.7,107.8,0,0
10186,영동선,1,87.00249,87.024,0.02151,-1.2229,700,364,4,3.4215,0,0,55453,100,100,100,0,0
10187,영동선,1,87.024,87.37785,0.35385,-1.2229,0,551,4,0,700,0,55453,100,108.1,108.15,0,0
10188,영동선,1,87.37785,87.575,0.19715,2.0722,0,551,4,-3.2951,0,0,55453,100,108.2,108.2,0,0
10189,영동선,1,87.575,88.41,0.835,2.0722,1400,1690,4,0,-1400,0,31089,100,108.3,108.43,0,0
10190,영동선,1,88.41,88.72,0.31,2.0722,1400,1690,2,0,0,2,31089,100,108.1,108.1,0,0
10191,영동선,1,88.72,89.04,0.32,2.989,1400,1690,2,-0.9168,0,0,31089,100,107.9,107.95,1,3
10192,영동선,1,89.04,89.24,0.2,1.46,1400,1690,2,1.529,0,0,31089,100,108.3,108.3,0,0
10193,영동선,1,89.24,89.265,0.025,1.527,1400,1690,2,-0.067,0,0,31089,100,100,100,0,0
10194,영동선,1,89.265,89.89,0.625,1.527,0,974,2,0,1400,0,31089,100,108,108.2,0,0
10195,영동선,1,89.89,90.239,0.349,4.527,0,974,2,-3,0,0,31089,100,108,108.05,0,0
10196,영동선,1,90.239,90.37,0.131,4.527,3000,327,2,0,-3000,0,31089,100,100,100,0,0
10197,영동선,1,90.37,90.566,0.196,-3,3000,327,2,7.527,0,0,31089,100,108.1,108.1,0,0
10198,영동선,1,90.566,90.85,0.284,-3,0,1809,2,0,3000,0,31089,100,108,108,0,0
10199,영동선,1,90.85,91.05,0.2,2.19,0,1809,2,-5.19,0,0,31089,100,108.1,108.1,0,0
10200,영동선,1,91.05,91.72,0.67,0.81,0,1809,2,1.38,0,0,31089,100,107.9,108,0,0
10201,영동선,1,91.72,91.92,0.2,1.79,0,1809,2,-0.98,0,0,31089,100,107.8,107.8,0,0
10202,영동선,1,91.92,92.375,0.455,0.98,0,1809,2,0.81,0,0,31089,100,107.7,107.9,0,0
10203,영동선,1,92.375,92.42,0.045,0.98,800,467,2,0,-800,0,31089,100,100,100,0,0
10204,영동선,1,92.42,92.842,0.422,3.98,800,467,2,-3,0,0,31089,100,108.8,108.8,0,0
10205,영동선,1,92.842,93.02,0.178,3.98,0,1909,2,0,800,0,28838,100,108.6,108.6,0,0
10206,영동선,1,93.02,93.54,0.52,-3,0,1909,2,6.98,0,0,28838,100,108.2,108.2,0,0
10207,영동선,1,93.54,93.94,0.4,4.182,0,1909,2,-7.182,0,0,28838,100,108,108,0,0
10208,영동선,1,93.94,94.26,0.32,1.19,0,1909,2,2.992,0,0,28838,100,107.8,107.8,0,0
10209,영동선,1,94.26,94.42,0.16,1.553,0,1909,2,-0.363,0,0,28838,100,107.8,107.8,0,0
10210,영동선,1,94.42,94.751,0.331,-0.363,0,1909,2,1.916,0,0,28838,100,107.9,107.9,0,0
10211,영동선,1,94.751,94.98,0.229,-0.363,3000,596,2,0,-3000,0,28838,100,100,100,0,0
10212,영동선,1,94.98,95.347,0.367,2.527,3000,596,2,-2.89,0,0,28838,100,108.4,108.4,0,0
10213,영동선,1,95.347,95.37,0.023,2.527,5000,505,2,0,-2000,0,28838,100,108.6,108.6,0,0
10214,영동선,1,95.37,95.66,0.29,-2.89,5000,505,2,5.417,0,0,28838,100,100,100,0,0
10215,영동선,1,95.66,95.852,0.192,4.111,5000,505,2,-7.001,0,0,28838,100,108.4,108.4,0,0
10216,영동선,1,95.852,95.9,0.048,4.111,0,362,2,0,5000,0,28838,100,100,100,0,0
10217,영동선,1,95.9,96.214,0.314,1.221,0,362,2,2.89,0,0,28838,100,108.1,108.1,0,0
10218,영동선,1,96.214,96.34,0.126,1.221,3300,439,2,0,-3300,0,28838,100,100,100,0,0
10219,영동선,1,96.34,96.58,0.24,2.226,3300,439,2,-1.005,0,0,28838,100,107.8,107.8,0,0
10220,영동선,1,96.58,96.653,0.073,1.545,3300,439,2,0.681,0,0,28838,100,100,100,0,0
10221,영동선,1,96.653,96.76,0.107,1.545,0,1334,2,0,3300,0,28838,100,107.7,107.7,0,0
10222,영동선,1,96.76,96.9,0.14,2.55,0,1334,2,-1.005,0,0,28838,100,100,100,0,0
10223,영동선,1,96.9,97.52,0.62,0,0,1334,2,2.55,0,0,28838,100,107.9,108,0,0
10224,영동선,1,97.52,97.66,0.14,4.559,0,1334,2,-4.559,0,0,28838,100,108.2,108.2,0,0
10225,영동선,1,97.66,97.78,0.12,-0.858,0,1334,2,5.417,0,0,28838,100,100,100,0,0
10226,영동선,1,97.78,97.9,0.12,-0.4,0,1334,2,-0.458,0,0,28838,100,100,100,0,0
10227,영동선,1,97.9,97.987,0.087,3.4,0,1334,2,-3.8,0,0,28838,100,107,107,0,0
10228,영동선,1,97.987,98.18,0.193,3.4,3000,1050,2,0,-3000,0,28838,100,100,100,0,0
10229,영동선,1,98.18,98.22,0.04,3,3000,1050,2,0.4,0,0,28838,100,102.5,102.5,0,0
10230,영동선,1,98.22,98.82,0.6,4.559,3000,1050,2,-1.559,0,0,28838,98.4,97.4,97.9,0,0
10231,영동선,1,98.82,99.037,0.217,4.56,3000,1050,2,-0.001,0,0,28838,99.5,99.5,99.5,0,0
10232,영동선,1,99.037,99.16,0.123,4.56,0,658,2,0,3000,0,28838,100,104,104,0,0
10233,영동선,1,99.16,99.48,0.32,3,0,658,2,1.56,0,0,28838,100,107.1,107.1,0,0
10234,영동선,1,99.48,99.68,0.2,2.259,0,658,2,0.741,0,0,28838,100,108.2,108.2,0,0
10235,영동선,1,99.68,99.695,0.015,0.74,0,658,2,1.519,0,0,28838,100,100,100,0,0
10236,영동선,1,99.695,100.22,0.525,0.74,1200,525,2,0,-1200,0,28838,100,108.2,108.25,0,0
10237,영동선,1,100.22,100.36,0.14,0.74,750,500,2,0,450,0,28838,100,100,100,0,0
10238,영동선,1,100.36,100.56,0.2,1.484,750,500,2,-0.744,0,0,28838,100,108.2,108.2,0,0
10239,영동선,1,100.56,100.72,0.16,2.226,750,500,2,-0.742,0,0,28838,100,108.2,108.2,0,0
10240,영동선,1,100.72,100.82,0.1,2.226,0,1240,2,0,750,0,28838,100,100,100,0,0
10241,영동선,1,100.82,101.42,0.6,3.076,0,1240,2,-0.85,0,0,28838,100,108.2,108.37,0,0
10242,영동선,1,101.42,101.96,0.54,-0.85,0,1240,2,3.926,0,0,28838,100,107.5,107.63,0,0
10243,영동선,1,101.96,102.22,0.26,-0.85,15000,260,2,0,-15000,0,28838,100,107.9,107.9,0,0
10244,영동선,1,102.22,102.52,0.3,-0.85,15000,300,2,0,0,0,28838,100,107.9,108,0,0
10245,영동선,1,102.52,103.51,0.99,-0.85,0,990,2,0,15000,0,28838,100,108.5,108.6,0,0
10246,영동선,1,103.51,103.96,0.45,-0.85,710,1100,2,0,-710,0,28838,100,108.1,108.25,0,0
10247,영동선,1,103.96,104.56,0.6,0,710,1100,2,-0.85,0,0,28838,100,105.6,105.8,0,0
10248,영동선,1,104.56,104.61,0.05,2.968,710,1100,2,-2.968,0,0,28838,100,100,100,0,0
10249,영동선,1,104.61,105.15,0.54,2.968,0,540,2,0,710,0,28838,100,107.3,107.6,0,0
10250,영동선,1,105.15,105.39,0.24,2.968,1000,670,2,0,-1000,0,28838,100,108,108,0,0
10251,영동선,1,105.39,105.82,0.43,-1.211,1000,670,2,4.179,0,0,28838,100,107.9,107.9,0,0
10252,영동선,1,105.82,106.05,0.23,-1.211,0,720,2,0,1000,0,28838,100,100,100,0,0
